//This is the Matrix of Operator and Observable
//The horizontal axis order of the observables are listed as below
Gamma_W,Br(W>e ve),Br(W>u vu),Br(W>tau vtau),Mw
//The vertical axis order of the Operators are listed as below
cHQM,cHQP,cpt,cHtb,ctW,cbW,ctB,cpDC,cpl3,cpWB,cllp,cll,cpl,cle,cpe,cpq,cpq3,cpu,cpd,clq1,clq3,clu,cld,ceq,ceu,ced,cee,cpb,clQP,clt,clb,ceqt,cet,ceb,cWWW,cbB,ctH,cbH
//Matrix
-0.00483608, -6.50156e-6, -6.50156e-6, -6.50156e-6, -0.0646336
0.00113472, 1.5255e-6, 1.5255e-6, 1.5255e-6, 0.0154634
0.00566159, 7.61136e-6, 7.61136e-6, 7.61136e-6, 0.0752105
-0.000115704, -1.55551e-7, -1.55551e-7, -1.55551e-7, -0.00152162
-0.000582373, -7.82934e-7, -7.82934e-7, -7.82934e-7, -0.00458566
0.0000767679, 1.03206e-7, 1.03206e-7, 1.03206e-7, 0.00119992
0.00221175, 2.97344e-6, 2.97344e-6, 2.97344e-6, 0.0293816
-0.156561, 0, 0, 0, -0.870333
-0.440681, 0.0138515, 0.0138515, 0.0138515, -1.06169
-0.345836, 0, 0, 0, -1.92252
0.282765, 0, 0, 0, 0.530844
0., 0., 0., 0., 0.
0., 0., 0., 0., 0.
0., 0., 0., 0., 0.
0., 0., 0., 0., 0.
0., 0., 0., 0., 0.
0.249698, -0.0138515, -0.0138515, -0.0138515, 0.
0., 0., 0., 0., 0.
0., 0., 0., 0., 0.
0., 0., 0., 0., 0.
0., 0., 0., 0., 0.
0., 0., 0., 0., 0.
0., 0., 0., 0., 0.
0., 0., 0., 0., 0.
0., 0., 0., 0., 0.
0., 0., 0., 0., 0.
0., 0., 0., 0., 0.
0., 0., 0., 0., 0.
0., 0., 0., 0., 0.
0., 0., 0., 0., 0.
0., 0., 0., 0., 0.
0., 0., 0., 0., 0.
0., 0., 0., 0., 0.
0., 0., 0., 0., 0.
0., 0., 0., 0., 0.
0., 0., 0., 0., 0.
0., 0., 0., 0., 0.
0., 0., 0., 0., 0.
