// This is the Matrix of Operator and Observable
//The horizontal axis order of the observables are listed as below
Gamma_Z,sigma_had,R_e,R_mu,R_ta,AFB_e,AFB_mu,AFB_ta,R_b,R_c,AFB_b,AFB_c,A_e,A_mu,A_ta,A_b,A_c,A_s
//The vertical axis order of the Operators are listed as below
cHQM,cHQP,cpt,cHtb,ctW,cbW,ctB,cpDC,cpl3,cpWB,cllp,cll,cpl,cle,cpe,cpq,cpq3,cpu,cpd,clq1,clq3,clu,cld,ceq,ceu,ced,cee,cpb,clQP,clt,clb,ceqt,cet,ceb,cWWW,cbB,ctH,cbH
//Matrix
-0.00406855, 5.25119*10^-9, -0.00688195, -0.00688195, -0.00688195, -0.000591848, -0.000591848, -0.000591848, 0.0000171976, -0.0000227345, -0.00215262, -0.0016351, -0.00303803, -0.00303803, -0.00303803, -0.000248393, -0.00134962, -0.000248393
0.0506175, -1.24507*10^-6, 0.606733, 0.606733, 0.606733, 0.000081375, 0.000081375, 0.000081375, 0.0235918, -0.00514699, 0.00118719, 0.000224815, 0.000417708, 0.000417708, 0.000417708, 0.00918365, 0.000185563, 0.0000341523
0.00457591, -5.80799*10^-9, 0.00761411, 0.00761411, 0.00761411, 0.000654939, 0.000654939, 0.000654939, -0.0000190874, 0.0000251703, 0.00238209, 0.00180941, 0.00336189, 0.00336189, 0.00336189, 0.000274872, 0.00149349, 0.000274872
-0.0000702368, 9.93891*10^-11, -0.000130036, -0.000130036, -0.000130036, -0.0000111719, -0.0000111719, -0.0000111719, 3.19589*10^-7, -4.28045*10^-7, -0.0000406337, -0.0000308648, -0.000057347, -0.000057347, -0.000057347, -4.68875*10^-6, -0.0000254759, -4.68875*10^-6
0.000777403, -4.72055*10^-9, 0.00609337, 0.00609337, 0.00609337, 0.000519297, 0.000519297, 0.000519297, -0.0000129455, 0.0000194796, 0.00188874, 0.00143467, 0.00266562, 0.00266562, 0.00266562, 0.000217944, 0.00118418, 0.000217944
-0.00155564, 3.89105*10^-8, -0.0192162, -0.0192162, -0.0192162, -0.0000374136, -0.0000374136, -0.0000374136, -0.000730401, 0.000158231, -0.000136078, -0.000103363, -0.000192049, -0.000192049, -0.000192049, -0.0000157021, -0.0000853161, -0.0000157021
0.000980311, -5.27491*10^-9, 0.00681257, 0.00681257, 0.00681257, 0.000580775, 0.000580775, 0.000580775, -0.0000145632, 0.0000218043, 0.00211235, 0.00160451, 0.00298119, 0.00298119, 0.00298119, 0.000243745, 0.00132437, 0.000243745
-0.0985982, 1.39522*10^-7, -0.182543, -0.182543, -0.182543, -0.0156831, -0.0156831, -0.0156831, 0.000448642, -0.000600888, -0.0570414, -0.0433279, -0.0805035, -0.0805035, -0.0805035, -0.00658205, -0.035763, -0.00658205
-0.301917, 6.17729*10^-6, -3.30643, -3.30643, -3.30643, -0.0409319, -0.0409319, -0.0409319, 0.00179457, -0.00240355, -0.149765, -0.117925, -0.210109, -0.210109, -0.210109, -0.0263282, -0.143052, -0.0263282
-0.120433, 6.73388*10^-7, -0.869531, -0.869531, -0.869531, -0.0741201, -0.0741201, -0.0741201, 0.00185501, -0.00278195, -0.269584, -0.204772, -0.380468, -0.380468, -0.380468, -0.0311075, -0.16902, -0.0311075
0.197196, -2.79044*10^-7, 0.365087, 0.365087, 0.365087, 0.0313662, 0.0313662, 0.0313662, -0.000897283, 0.00120178, 0.114083, 0.0866558, 0.161007, 0.161007, 0.161007, 0.0131641, 0.071526, 0.0131641
0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.
-0.028202, 0.0000164022, -2.57626, -2.57626, -2.57626, 0.0218006, 0.0218006, 0.0218006, 0., 0., 0.0784002, 0.0553864, 0.111905, 0.111905, 0.111905, 0., 0., 0.
0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.
-0.028202, -9.66254*10^-6, 2.26082, 2.26082, 2.26082, 0.0248424, 0.0248424, 0.0248424, 0., 0., 0.0893391, 0.0631142, 0.127519, 0.127519, 0.127519, 0., 0., 0.
0.0188013, -4.63659*10^-7, 0.225722, 0.225722, 0.225722, 0., 0., 0., -0.00247674, -0.0268137, 0., -0.00484237, 0., 0., 0., 0., -0.049713, 0.0091495
0.184952, -4.56108*10^-6, 2.22047, 2.22047, 2.22047, 0., 0., 0., -0.0243641, 0.00601731, 0., 0.00484237, 0., 0., 0., 0., 0.049713, 0.0091495
0.0376027, -9.27317*10^-7, 0.451445, 0.451445, 0.451445, 0., 0., 0., -0.00495347, 0.00743021, 0., -0.0106982, 0., 0., 0., 0., -0.10983, 0.
-0.0188013, 4.63659*10^-7, -0.225722, -0.225722, -0.225722, 0., 0., 0., 0.00247674, 0.00191899, 0., 0., 0., 0., 0., 0., 0., 0.0495773
0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.
0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.
0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.
0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.
0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.
0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.
0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.
0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.
-0.00892196, 2.20024*10^-7, -0.107114, -0.107114, -0.107114, 0., 0., 0., -0.00417188, 0.000910634, 0.00482915, 0., 0., 0., 0., 0.0495773, 0., 0.
0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.
0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.
0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.
0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.
0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.
0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.
0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.
-0.00512818, 1.26466*10^-7, -0.0615672, -0.0615672, -0.0615672, 0., 0., 0., -0.00239792, 0.000523416, 0., 0., 0., 0., 0., 0., 0., 0.
0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.
0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.







