// This is the correlation Matrix of Observables

//Reference arxiv:hep-ex/0509008(Table2.13) arxiv:hep-ex/0312023(Table5.2,concerned with b and c quark)

//The vertical order of the observables are listed as below
Gamma_Z,sigma_had,R_e,R_mu,R_ta,AFB_e,AFB_mu,AFB_ta,R_b,R_c,AFB_b,AFB_c


//horizontal Observables
Gamma_Z,sigma_had,R_e,R_mu,R_ta,AFB_e,AFB_mu,AFB_ta,R_b,R_c,AFB_b,AFB_c
//Matrix
1.000,-0.297,-0.011,0.008,0.006,0.007,0.002,0.001,0.000,0.000,0.000,0.000
-0.297,1.000,0.105,0.131,0.092,0.001,0.003,0.002,0.000,0.000,0.000,0.000
-0.011,0.105,1.000,0.069,0.046,-0.371,0.020,0.013,0.000,0.000,0.000,0.000
0.008,0.131,0.069,1.000,0.069,0.001,0.012,-0.003,0.000,0.000,0.000,0.000
0.006,0.092,0.046,0.069,1.000,0.003,0.001,0.009,0.000,0.000,0.000,0.000
0.007,0.001,-0.371,0.001,0.003,1.000,-0.024,-0.020,0.000,0.000,0.000,0.000
0.002,0.003,0.020,0.012,0.001,-0.024,1.000,0.046,0.000,0.000,0.000,0.000
0.001,0.002,0.013,-0.003,0.009,-0.020,0.046,1.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,-0.170,-0.080,0.070
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.170,1.000,0.080,-0.060
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.080,0.080,1.000,0.140
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.070,-0.060,0.140,1.000
