//This is the Matrix of Operator and Observable
//The horizontal axis order of the observables are listed as below
R_b_1,R_b_2,R_b_3,R_b_4,R_b_5,R_b_6,R_b_7,R_b_8,R_b_9,R_b_10
//The vertical axis order of the Operators are listed as below
cHQM,cHQP,cpt,cHtb,ctW,cbW,ctB,cpDC,cpl3,cpWB,cllp,cll,cpl,cle,cpe,cpq,cpq3,cpu,cpd,clq1,clq3,clu,cld,ceq,ceu,ced,cee,cpb,clQP,clt,clb,ceqt,cet,ceb,cWWW,cbB,ctH,cbH,chb

//Matrix
0.000223929,0.000237164,0.000277995,0.000296521,0.000306202,0.000318082,0.000333915,0.000341914,0.000351865,0.000358387
0.0358498,0.030439,0.0289973,0.0285653,0.0283602,0.0281026,0.0278363,0.0277635,0.027576,0.0274772
0,0,0,0,0,0,0,0,0,0
-8.06399e-06,-9.89893e-06,-1.05395e-05,-1.07187e-05,-1.07875e-05,-1.0867e-05,-1.09353e-05,-1.09908e-05,-1.103e-05,-1.10336e-05
0.000185389,5.54004e-05,-1.0575e-05,-3.63541e-05,-4.90106e-05,-6.61494e-05,-8.3701e-05,-9.39192e-05,-0.000107916,-0.000113963
-5.26101e-06,-1.02042e-05,-1.18004e-05,-1.23111e-05,-1.25773e-05,-1.29065e-05,-1.32094e-05,-1.3403e-05,-1.36395e-05,-1.3763e-05
-0.000157229,-0.000121782,-0.000106652,-0.000101684,-9.87055e-05,-9.49903e-05,-9.17692e-05,-9.00596e-05,-8.65075e-05,-8.45573e-05
-0.00194357,-0.00268082,-0.00282168,-0.00289188,-0.00291311,-0.0029125,-0.00292865,-0.00296138,-0.00296831,-0.00298523
-0.00415856,-0.00604297,-0.00643933,-0.00656754,-0.00663501,-0.00664433,-0.00670865,-0.00676362,-0.00677944,-0.00680949
-0.00162946,-0.00361921,-0.00411205,-0.00419853,-0.00432437,-0.00447032,-0.00450465,-0.00456547,-0.00456055,-0.00457562
0.0039078,0.0053704,0.00566534,0.00576608,0.00581987,0.00584435,0.00587614,0.00590953,0.00594973,0.00590741
0,0,0,0,0,0,0,0,0,0
0.0036816,0.00471815,0.00490739,0.00496813,0.00499776,0.005024,0.00504008,0.00506657,0.00508158,0.0050816
0,0,0,0,0,0,0,0,0,0
-0.00274297,-0.0028571,-0.00281424,-0.00279952,-0.00279569,-0.00277924,-0.00276209,-0.00276229,-0.00275194,-0.0027438
-0.00129457,-0.000941383,-0.000863494,-0.000835886,-0.000816885,-0.000808696,-0.000795209,-0.000787323,-0.000781663,-0.000774704
-0.014697,-0.0112091,-0.0103889,-0.0101316,-0.0100151,-0.00987628,-0.0097339,-0.00968641,-0.00958121,-0.00953681
-0.0025876,-0.00187968,-0.00171664,-0.00166661,-0.00164333,-0.00161786,-0.00159047,-0.00158175,-0.00156233,-0.00155463
0.00129415,0.000939018,0.000858631,0.000831689,0.000821442,0.000809653,0.000795754,0.000789686,0.00078101,0.000776532
0.000908586,0.00279488,0.00374632,0.00410693,0.00432566,0.00458819,0.00486425,0.00502074,0.00522656,0.00532983
-0.0249587,-0.0433793,-0.0526686,-0.0562768,-0.0581394,-0.0606335,-0.0632444,-0.0648152,-0.0668317,-0.0679197
0.00182037,0.00556812,0.00749235,0.00825043,0.00863021,0.009159,0.00968608,0.0100028,0.0104279,0.010649
-0.000910221,-0.00278342,-0.00374501,-0.00412512,-0.00431519,-0.00457855,-0.00484233,-0.00500176,-0.00521504,-0.00532115
0.00416372,0.00790758,0.00981044,0.0105502,0.0109233,0.011445,0.011965,0.0122883,0.012702,0.0129164
0.00831953,0.0158079,0.0196191,0.0210897,0.0218467,0.0228763,0.0239376,0.0245828,0.0254018,0.0258223
-0.00416199,-0.00790581,-0.00981442,-0.0105484,-0.0109188,-0.011442,-0.0119696,-0.0122922,-0.0127024,-0.0129125
0,0,0,0,0,0,0,0,0,0
-0.00284242,-0.00232736,-0.00219582,-0.00214703,-0.00213291,-0.00211433,-0.00208979,-0.00207904,-0.00206472,-0.0020566
0.0270366,0.0510354,0.0633245,0.0681863,0.0707356,0.0740871,0.0774452,0.079573,0.0823101,0.0837417
0,0,0,0,0,0,0,0,0,0
0.00214722,0.00711788,0.009825,0.0109099,0.0114642,0.0122169,0.0129778,0.0134465,0.014059,0.0143782
-0.0125295,-0.0187198,-0.0216188,-0.0227616,-0.0233453,-0.0241151,-0.0248989,-0.0253948,-0.0260213,-0.0263423
0,0,0,0,0,0,0,0,0,0
0.00931091,0.0198242,0.025323,0.0275232,0.028672,0.0301871,0.0317079,0.0326442,0.0339141,0.0345487
0,0,0,0,0,0,0,0,0,0
-2.42319e-05,-1.54312e-05,-1.26937e-05,-1.19281e-05,-1.14801e-05,-1.09617e-05,-1.05724e-05,-1.03511e-05,-9.9047e-06,-9.65198e-06
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
2.69368e-05,2.26626e-05,2.1278e-05,2.08898e-05,2.06681e-05,2.04087e-05,2.02048e-05,2.01264e-05,1.98819e-05,1.97511e-05
