//This is the Matrix of Operator and Observable
//The horizontal axis order of the observables are listed as below
xsec_b_58,xsec_c_58,afb_b_58,afb_c_58
//The vertical axis order of the Operators are listed as below
cHQM,cHQP,cpt,cHtb,ctW,cbW,ctB,cpDC,cpl3,cpWB,cllp,cll,cpl,cle,cpe,cpq,cpq3,cpu,cpd,clq1,clq3,clu,cld,ceq,ceu,ced,cee,cpb,clQP,clt,clb,ceqt,cet,ceb,cWWW,cbB,ctH,cbH,chb

//Matrix
-0.000297477,-0.00150702,-0.00109852,0.000722302
2.12694,-0.00438028,-0.0126989,8.2614e-05
0,0,0,0
-0.00150244,1.3985e-05,-4.22073e-05,5.8696e-06
0.00503157,-0.0128444,0.000617392,7.05611e-05
0,0.00392259,0,2.35972e-06
0,-0.0145728,0,6.51815e-05
-0.160388,0.0200437,-0.0116065,0.00864428
-0.258844,0.172545,-0.03669,0.014014
1.45744,1.57361,-0.0776492,-0.00980262
0.319371,-0.0425473,0.0231997,-0.0172919
0,0,0,0
0.381171,0.0890207,0.00950582,-0.0204618
0,0,0,0
-1.57065,-1.23102,0.0320518,0.0228326
0,-0.695493,0,0.0199924
0,0.691461,0,-0.0199681
0,0.468731,0,-0.0252131
0,0,0,0
0,-0.465178,0,-0.0140973
0,0.464899,0,0.014069
0,-1.19778,0,0.00795066
0,0,0,0
0,-1.41362,0,0.00927989
0,-0.769459,0,-0.0233447
0,0,0,0
0,0,0,0
-0.247005,0,0.0297595,0
-0.14084,0,-0.00848219,0
0,0,0,0
0.687454,0,-0.0105243,0
1.19363,0,-0.0178814,0
0,0,0,0
0.466867,0,0.0256352,0
0,0,0,0
0,-0.00737922,0,-1.06697e-05
0,0,0,0
0,0,0,0
0,0.00192124,0,-1.20186e-05
