
//This is the Matrix of Operator and Observable
//The horizontal axis order of the observables are listed as below
AFB_b_1,AFB_b_2,AFB_b_3,AFB_b_4,AFB_b_5,AFB_b_6,AFB_b_7,AFB_b_8,AFB_c_1,AFB_c_2
//The vertical axis order of the Operators are listed as below
cHQM,cHQP,cpt,cHtb,ctW,cbW,ctB,cpDC,cpl3,cpWB,cllp,cll,cpl,cle,cpe,cpq,cpq3,cpu,cpd,clq1,clq3,clu,cld,ceq,ceu,ced,cee,cpb,clQP,clt,clb,ceqt,cet,ceb,cWWW,cbB,ctH,cbH

//Matrix
-0.000691705,-0.000649979,-0.000637478,-0.000607351,-0.000597433,-0.000583254,-0.000568353,-0.000581671,-0.000537721,-0.000552075
-0.0365258,-0.0359958,-0.0359193,-0.0360947,-0.036479,-0.0348037,-0.0338649,-0.0349204,6.28072e-05,6.67779e-05
0,0,0,0,0,0,0,0,0,0
5.13237e-06,6.09154e-06,6.5049e-06,7.04283e-06,7.53235e-06,7.85655e-06,8.20631e-06,8.22664e-06,-4.56827e-06,-4.69036e-06
-9.11808e-05,-0.000133411,-0.000155004,-0.000177385,-0.000205075,-0.00021634,-0.000233983,-0.000252383,1.37949e-05,1.39093e-05
0,0,0,0,0,0,0,0,-3.23218e-06,-3.21321e-06
0,0,0,0,0,0,0,0,9.29031e-05,9.81553e-05
-0.0156134,-0.0155876,-0.0153806,-0.0149134,-0.0143662,-0.0143817,-0.0143621,-0.0142785,-0.00770438,0.0429578
-0.0396986,-0.0380938,-0.0367571,-0.0370601,-0.0357307,-0.0351933,-0.034044,-0.035914,-0.0115403,0.162159
-0.103296,-0.100373,-0.100265,-0.0972777,-0.0955335,-0.095473,-0.0941431,-0.0946208,-0.00130114,0.200835
0.0312033,0.0307265,0.0310622,0.0303597,0.0293727,0.0291758,0.0291415,0.0288321,0.0158506,-0.085244
0,0,0,0,0,0,0,0,0,0
0.0246725,0.0242475,0.0230927,0.022802,0.0230926,0.0232497,0.0224181,0.0222641,0.0203892,-0.0134258
0,0,0,0,0,0,0,0,0,0
0.0541762,0.052772,0.0521094,0.0517148,0.0506701,0.0502998,0.0497124,0.0497001,-0.00893229,-0.013049
0,0,0,0,0,0,0,0,-0.0100988,0.0471397
0,0,0,0,0,0,0,0,0.0098932,-0.0466813
0,0,0,0,0,0,0,0,0.0263066,0.10676
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,-0.0366864,0.505259
0,0,0,0,0,0,0,0,0.035463,-0.4932
0,0,0,0,0,0,0,0,0.141489,0.975872
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.0311721,0.229466
0,0,0,0,0,0,0,0,-0.025989,0.347735
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
-0.0202625,-0.0202991,-0.0206695,-0.0207968,-0.0209889,-0.0213837,-0.0215196,-0.0214023,-1.07324e-05,-1.12109e-05
0.0698594,0.0734747,0.0760524,0.0790292,0.0817121,0.0837531,0.0837444,0.0875291,0,0
0,0,0,0,0,0,0,0,0,0
-0.0893691,-0.100409,-0.105588,-0.113636,-0.121201,-0.125203,-0.131798,-0.135525,0,0
0.197703,0.210685,0.217335,0.225785,0.233917,0.23824,0.24661,0.249206,0,0
0,0,0,0,0,0,0,0,0,0
0.0292406,0.0296918,0.031502,0.0324071,0.0344643,0.0348492,0.0356969,0.0361031,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3.10252e-05,3.20812e-05
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
