// This is the correlation Matrix of Observables
//Reference arxiv:hep-ex/0509008(Table2.13) arxiv:hep-ex/0312023(Table5.2,concerned with b and c quark)
//The vertical order of the observables are listed as below
AFB_b_1,AFB_b_2,AFB_b_3,AFB_b_4,AFB_b_5,AFB_b_6,AFB_b_7,AFB_b_8,AFB_b_9,AFB_b_10,AFB_c_1,AFB_c_2,AFB_c_3,AFB_c_4,R_b_1,R_b_2,R_b_3,R_b_4,R_b_5,R_b_6,R_b_7,R_b_8,R_b_9,R_b_10,R_c_1,R_c_2,R_c_3,R_c_4,R_c_5,R_c_6
//horizontal Observables
AFB_b_1,AFB_b_2,AFB_b_3,AFB_b_4,AFB_b_5,AFB_b_6,AFB_b_7,AFB_b_8,AFB_b_9,AFB_b_10,AFB_c_1,AFB_c_2,AFB_c_3,AFB_c_4,R_b_1,R_b_2,R_b_3,R_b_4,R_b_5,R_b_6,R_b_7,R_b_8,R_b_9,R_b_10,R_c_1,R_c_2,R_c_3,R_c_4,R_c_5,R_c_6

//Matrix
1,0.02,0.03,0.04,0,0,0,0,0,0,0.07,0.01,0.02,0.03,-0.02,0.01,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0
0.02,1,0.02,0.02,0,0,0,0,0,0,0.01,-0.02,0,0.01,0.01,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0
0.03,0.02,1,0.05,0,0,0,0,0,0,0.02,0.01,0.21,0.03,0.01,0.01,-0.1,0.02,0,0,0,0,0,0,0.016,0,0,0,0,0
0.04,0.02,0.05,1,0.03,0.09,0.08,0.05,0,0,0.04,0.03,0.04,0.34,0.03,0.02,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.03,1,0.05,0.04,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.09,0.05,1,0.14,0.08,0,0,0,0.01,0.01,0.04,0,0,0.01,0.01,0,0.01,0.01,0.01,0,0,0,0,0,0,0,0
0,0,0,0.08,0.04,0.14,1,0.08,0,0,0,0,0.01,0.04,0,0,0.01,0.01,0,0.01,0.01,0.01,0,0,0,0,0,0,0,0
0,0,0,0.05,0.03,0.08,0.08,1,0,0,0,0.01,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07,0.01,0.02,0.04,0,0,0,0,0,0,1,0.04,0.05,0.08,0.03,0.01,0.01,0.02,0,0,0,0,0,0,0.01,0,0,0,0,0
0.01,-0.02,0.01,0.03,0,0.01,0.01,0.01,0,0,0.04,1,0.05,0.08,0.01,0.03,0.01,0.02,0.01,0.01,0.01,0.01,0,0,0.01,0,0,0,0,0
0.02,0,0.21,0.04,0,0.01,0.01,0.01,0,0,0.05,0.05,1,0.1,0.01,0.01,0.14,0.03,0.01,0.01,0.02,0.01,0,0,-0.16,0,0,0,0,0
0.03,0.01,0.03,0.34,0.01,0.04,0.04,0.02,0,0,0.08,0.08,0.1,1,0.01,0.01,0.03,0.08,0.01,0.02,0.03,0.02,0,0,0.01,0,0,0,0,0
-0.02,0.01,0.01,0.03,0,0,0,0,0,0,0.03,0.01,0.01,0.01,1,0.04,0.04,0.06,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0.01,0.02,0,0,0,0,0,0,0.01,0.03,0.01,0.01,0.04,1,0.04,0.05,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.01,-0.1,0.03,0,0.01,0.01,0,0,0,0.01,0.01,0.14,0.03,0.04,0.04,1,0.08,0.01,0.02,0.02,0.02,0,0,-0.36,0,0,0,0,0
0.02,0.01,0.02,0,0,0.01,0.01,0,0,0,0.02,0.02,0.03,0.08,0.06,0.05,0.08,1,0.02,0.04,0.04,0.03,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0,0,0.01,0.02,1,0.04,0.04,0.03,0,0,0,0,0,0,0,0
0,0,0,0,0,0.01,0.01,0,0,0,0,0.01,0.01,0.02,0,0,0.02,0.04,0.04,1,0.06,0.04,0,0,0,0,0,0,0,0
0,0,0,0,0,0.01,0.01,0,0,0,0,0.01,0.02,0.03,0,0,0.02,0.04,0.04,0.06,1,0.05,0,0,0,0,0,0,0,0
0,0,0,0,0,0.01,0.01,0,0,0,0,0.01,0.01,0.02,0,0,0.02,0.03,0.03,0.04,0.05,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0.16,0,0,0,0,0,0,0,0.01,0.01,-0.16,0.01,0,0,-0.36,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
