//This is the Matrix of Operator and Observable
//The horizontal axis order of the observables are listed as below
xsec_eemm_1,xsec_eemm_2,xsec_eemm_3,xsec_eemm_4,xsec_eemm_5,xsec_eemm_6,xsec_eemm_7,xsec_eemm_8,xsec_eemm_9,xsec_eemm_10,xsec_eemm_11,xsec_eemm_12
//different energy is seperated to different matrix
//The vertical axis order of the Operators are listed as below
cHQM,cHQP,cpt,cHtb,ctW,cbW,ctB,cpDC,cpl3,cpWB,cllp,cll,cpl,cle,cpe,cpq,cpq3,cpu,cpd,clq1,clq3,clu,cld,ceq,ceu,ced,cee,cpb,clQP,clt,clb,ceqt,cet,ceb,cWWW,cbB,ctH,cbH

//Matrix
-0.0096288,-0.00757623,-0.00360036,-0.00284851,-0.00233907,-0.0021024,-0.00200595,-0.00188264,-0.00177892,-0.00171452,-0.00164702,-0.00161527
0.000714747,0.000644032,0.000434066,0.000377932,0.000335708,0.000314235,0.000305435,0.000293634,0.000283833,0.000277162,0.000270759,0.000267727
0.0108767,0.00856566,0.00408899,0.00324302,0.00267025,0.00240397,0.00229571,0.00215711,0.00204085,0.00196835,0.00189289,0.00185742
-0.000167752,-0.000132223,-6.33266e-05,-5.02582e-05,-4.139e-05,-3.72754e-05,-3.55931e-05,-3.34466e-05,-3.16366e-05,-3.05177e-05,-2.93375e-05,-2.87822e-05
0.000797893,0.000409166,-0.000400004,-0.00058064,-0.000716857,-0.000781448,-0.000811383,-0.000848651,-0.000884608,-0.000904023,-0.000930376,-0.000943039
0.000726999,0.00067135,0.000506819,0.000456157,0.000414092,0.000393559,0.000383569,0.000371323,0.000359415,0.000353205,0.00034427,0.000339891
0.000880011,0.000368941,-0.00071303,-0.000953815,-0.00113375,-0.00122338,-0.00126206,-0.00131294,-0.00135894,-0.00138747,-0.00141955,-0.00143475
-0.235513,-0.184992,-0.0889989,-0.0703937,-0.0581697,-0.0527773,-0.0500433,-0.0470492,-0.0441526,-0.0428872,-0.0411039,-0.0402142
-0.183088,-0.14778,-0.0782192,-0.0636106,-0.0535646,-0.0487543,-0.0461845,-0.0441554,-0.0415075,-0.0405224,-0.0388715,-0.0380636
-0.332362,-0.268311,-0.140638,-0.115387,-0.0962793,-0.0878852,-0.0843157,-0.0804662,-0.0759832,-0.0732307,-0.070484,-0.0690748
2.22219,2.047,1.69752,1.62852,1.57703,1.55729,1.54692,1.5353,1.52355,1.51806,1.51082,1.50704
1.74938,1.67555,1.52143,1.48651,1.46131,1.45175,1.44731,1.44049,1.43411,1.43117,1.42788,1.42632
0.758928,0.590311,0.276573,0.218703,0.178843,0.161419,0.153401,0.144062,0.135731,0.131291,0.125386,0.122344
0.312385,0.360477,0.469931,0.495607,0.514071,0.523267,0.527175,0.531669,0.535985,0.53814,0.541621,0.543279
-0.550678,-0.420434,-0.187349,-0.146118,-0.117402,-0.10578,-0.100364,-0.0946014,-0.0882495,-0.0851221,-0.08086,-0.0792099
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1.57366,1.51427,1.39153,1.36579,1.34666,1.33761,1.33386,1.33017,1.32501,1.32295,1.3207,1.31752
-0.000501748,-0.000405781,-0.000208389,-0.000167906,-0.00013967,-0.000126605,-0.000121085,-0.000114139,-0.000108135,-0.000104552,-0.000100561,-9.86794e-05
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
-0.000613879,-0.000629523,-0.000585457,-0.000548055,-0.000510352,-0.000491858,-0.000481372,-0.000469175,-0.000455925,-0.000450117,-0.00043935,-0.000433975
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
