// This is the correlation Matrix of Observables

//Reference arxiv:hep-ex/0509008(Table2.13) arxiv:hep-ex/0312023(Table5.2,concerned with b and c quark)

//The vertical order of the observables are listed as below
xsec_eeqq_1,xsec_eeqq_2,xsec_eeqq_3,xsec_eeqq_4,xsec_eeqq_5,xsec_eeqq_6,xsec_eeqq_7,xsec_eeqq_8,xsec_eeqq_9,xsec_eeqq_10,xsec_eeqq_11,xsec_eeqq_12

//horizontal Observables
xsec_eeqq_1,xsec_eeqq_2,xsec_eeqq_3,xsec_eeqq_4,xsec_eeqq_5,xsec_eeqq_6,xsec_eeqq_7,xsec_eeqq_8,xsec_eeqq_9,xsec_eeqq_10,xsec_eeqq_11,xsec_eeqq_12
//Matrix
1.000,0.060,0.065,0.058,0.104,0.112,0.043,0.065,0.065,0.045,0.061,0.076
0.060,1.000,0.061,0.055,0.098,0.104,0.040,0.061,0.061,0.042,0.057,0.071
0.065,0.061,1.000,0.060,0.108,0.117,0.044,0.067,0.068,0.047,0.063,0.078
0.058,0.055,0.060,1.000,0.096,0.103,0.039,0.060,0.060,0.041,0.056,0.069
0.104,0.098,0.108,0.096,1.000,0.205,0.078,0.120,0.121,0.084,0.114,0.140
0.112,0.104,0.117,0.103,0.205,1.000,0.097,0.149,0.151,0.105,0.141,0.174
0.043,0.040,0.044,0.039,0.078,0.097,1.000,0.060,0.061,0.042,0.057,0.071
0.065,0.061,0.067,0.060,0.120,0.149,0.060,1.000,0.094,0.066,0.089,0.110
0.065,0.061,0.068,0.060,0.121,0.151,0.061,0.094,1.000,0.067,0.090,0.112
0.045,0.042,0.047,0.041,0.084,0.105,0.042,0.066,0.067,1.000,0.063,0.079
0.061,0.057,0.063,0.056,0.114,0.141,0.057,0.089,0.090,0.063,1.000,0.106
0.076,0.071,0.078,0.069,0.140,0.174,0.071,0.110,0.112,0.079,0.106,1.000
