// This is the Matrix of Operator and Observable
//The horizontal axis order of the observables are listed as below
GveLV,GveLA,Geuavandgedav,Gedavandgeuav,Gedvaandgeuva,Geeva,Rtrident(CHARM),Rtrident(CCFR)
//The vertical axis order of the Operators are listed as below
cHQM,cHQP,cpt,cHtb,ctW,cbW,ctB,cpDC,cpl3,cpWB,cllp,cll,cpl,cle,cpe,cpq,cpq3,cpu,cpd,clq1,clq3,clu,cld,ceq,ceu,ced,cee,cpb,clQP,clt,clb,ceqt,cet,ceb,cWWW,cbB,ctH,cbH
//Matrix
0.000814328,0.000646736,-0.000646736,0.00221953,0.00244298,-0.000814328,0.001874,0.001874    
0.00000672828, 0.0000870677, -0.000087067, 0.000127304, 0.0000201848, -0.00000672828, 0.0000843998, 0.0000843998
-0.000895852,-0.000728296,0.000728296,-0.00246415,-0.00268756,0.000895852,-0.00207579,-0.00207579 
0.0000152248,0.0000107965,-0.0000107965,0.0000397699,0.0000456744,-0.0000152248,0.0000339446,0.0000339446
-0.000715071,0,0,-0.00119179,-0.00214521,0.000715071,-0.00116668,-0.00116668 
0.000111372,0,0,0.00018562,0.000334116,-0.000111372,0.00018171,0.00018171  
-0.0007474660,0,0,-0.001245780,-0.002242400,0.000747466000,-0.001219540,-0.001219540
0.0213725, 0.015156, -0.015156, 0.0558288, 0.0641175, -0.0213725, 0.0476513, 0.0476513
0.0532011, 0, -0.0303121, 0.179605, 0.165534, -0.0532011, 0.0868009, 0.0868009
0.0963374, 0., 0., 0.160562, 0.289012, -0.0963374, 0.15718, 0.15718
-0.042745, -0.0303121, 0.0303121, -0.111658, -0.128235, 0.0124329, 0.0547324, 0.0547324
-0.0606241, -0.0606241, 0., 0., 0., -0.0303121, -0.150035, -0.150035
-0.0283353, 0., 0.0303121, -0.0437107, -0.0909362, 0.0322888, -0.0462308, -0.0462308
-0.0303121, 0.0303121, 0., 0., 0., 0., -0.0238945, -0.0238945
-0.0303121, 0.0303121, -0.0303121, 0.0437107, -0.0909362, 0.0283353, -0.0238945, -0.0238945
0., 0., 0.0909362, 0.0303121, 0.00197677, 0., 0., 0.
0., 0., 0.0303121, -0.0909362, -0.0059303, 0., 0., 0.
0., 0., 0.0303121, 0.0606241, -0.00395353, 0., 0., 0.
0., 0., 0.0606241, -0.0303121, 0.00197677, 0., 0., 0.
0., 0., -0.0909362, -0.0303121, -0.0303121, 0., 0., 0.
0., 0., -0.0303121, 0.0909362, 0.0909362, 0., 0., 0.
0., 0., -0.0303121, -0.0606241, 0.0606241, 0., 0., 0.
0., 0., -0.0606241, 0.0303121, -0.0303121, 0., 0., 0.
0., 0., 0.0909362, 0.0303121, -0.0303121, 0., 0., 0.
0., 0., 0.0303121, 0.0606241, 0.0606241, 0., 0., 0.
0., 0., 0.0606241, -0.0303121, -0.0303121, 0., 0., 0.
0., 0., 0., 0., 0., 0.0303121, 0., 0.
0., 0., 0., 0., 0., 0., 0., 0.
0., 0., 0., 0., 0., 0., 0., 0.
0., 0., 0., 0., 0., 0., 0., 0.
0., 0., 0., 0., 0., 0., 0., 0.
0., 0., 0., 0., 0., 0., 0., 0.
0., 0., 0., 0., 0., 0., 0., 0.
0., 0., 0., 0., 0., 0., 0., 0.
0., 0., 0., 0., 0., 0., 0., 0.
-0.000170065, 0., 0., -0.000283441, -0.000510194, 0.000170065, -0.000277471, -0.000277471
0., 0., 0., 0., 0., 0., 0., 0.
0., 0., 0., 0., 0., 0., 0., 0.
